Nama PT,Prodies
"STAI Al-Furqan Makassar, Sulawesi Selatan",Bimbingan dan Penyuluhan Islam (S1)
"STAI Al-Furqan Makassar, Sulawesi Selatan",Hukum Keluarga (Ahwal Syakhshiyah) (S1)
"STAI Al-Furqan Makassar, Sulawesi Selatan",Pendidikan Agama Islam (S1)
"STAI Al-Furqan Makassar, Sulawesi Selatan",Pendidikan Agama Islam (S2)
"STAI Al-Furqan Makassar, Sulawesi Selatan",Pendidikan Guru Madrasah Ibtidaiyah (S1)
"STAI Al-Furqan Makassar, Sulawesi Selatan",Pendidikan Islam Anak Usia Dini (S1)
Sekolah Tinggi Ilmu Ekonomi Balikpapan,Akuntansi (S1)
Sekolah Tinggi Ilmu Ekonomi Balikpapan,Manajemen (S1)
Akademi Teknologi Bogor,Teknik Listrik (D3)
Akademi Teknologi Bogor,Teknik Mesin (D3)
Sekolah Tinggi Manajemen Informatika dan Komputer Ichsan Gorontalo,Komputerisasi Akuntansi (D1)
Sekolah Tinggi Manajemen Informatika dan Komputer Ichsan Gorontalo,Komputerisasi Akuntansi (D3)
Sekolah Tinggi Manajemen Informatika dan Komputer Ichsan Gorontalo,Manajemen Informatika (D3)
Sekolah Tinggi Manajemen Informatika dan Komputer Ichsan Gorontalo,Manajemen Informatika (D1)
Sekolah Tinggi Manajemen Informatika dan Komputer Ichsan Gorontalo,Sistem Informasi (S1)
Sekolah Tinggi Teknologi Payakumbuh,Informatika (S1)
Sekolah Tinggi Teknologi Payakumbuh,Teknik Komputer (D3)
Sekolah Tinggi Teknologi Payakumbuh,Teknik Sipil (S1)
IKIP Saraswati,Pendidikan Bahasa Inggris (S1)
IKIP Saraswati,Pendidikan Bahasa Dan Sastra Indonesia (S1)
IKIP Saraswati,Pendidikan Biologi (S1)
IKIP Saraswati,Pendidikan Matematika (S1)
IKIP Saraswati,Pendidikan Pancasila Dan Kewarganegaraan (S1)
IKIP Saraswati,Pendidikan Profesi Guru (Profesi)
IKIP Saraswati,Pendidikan Sejarah (S1)
Universitas Annuqayah,Biologi (S1)
Universitas Annuqayah,Bisnis Digital (S1)
Universitas Annuqayah,Ilmu Komunikasi (S1)
Universitas Annuqayah,Kimia (S1)
Universitas Annuqayah,Matematika (S1)
Universitas Annuqayah,Teknik Sipil (S1)
Universitas Annuqayah,Teknologi Hasil Pertanian (S1)
Universitas Annuqayah,Teknologi Informasi (S1)
Sekolah Tinggi Teologi Sabda Agung (STTSA),Pendidikan Agama Kristen (S1)
Sekolah Tinggi Teologi Sabda Agung (STTSA),Teologi (S1)
Akademi Keperawatan Krida Husada,Keperawatan (D3)
Akademi Kesehatan Gigi Kendari,Kesehatan Gigi (D3)
Institut Bisnis dan Teknologi Kalimantan,Akuntansi (S2)
Institut Bisnis dan Teknologi Kalimantan,Akuntansi (S1)
Institut Bisnis dan Teknologi Kalimantan,Manajemen (S2)
Institut Bisnis dan Teknologi Kalimantan,Manajemen (S1)
Institut Bisnis dan Teknologi Kalimantan,Teknologi Informasi (S1)
Akademi Kuliner Monas Pasifik,Seni Kuliner (D3)
Universitas Prasetiya Mulya,Akuntansi (S1)
Universitas Prasetiya Mulya,Desain Produk (S1)
Universitas Prasetiya Mulya,Ekonomi (S1)
Universitas Prasetiya Mulya,Hukum Bisnis (S1)
Universitas Prasetiya Mulya,Manajemen (S1)
Universitas Prasetiya Mulya,Manajemen (S2)
Universitas Prasetiya Mulya,Manajemen dan Kewirausahaan (S3)
Universitas Prasetiya Mulya,Matematika (S1)
Universitas Prasetiya Mulya,Pariwisata (S1)
Universitas Prasetiya Mulya,Rekayasa Perangkat Lunak (S1)
Universitas Prasetiya Mulya,Rekayasa Sistem Komputer (S1)
Universitas Prasetiya Mulya,Teknik Energi Terbarukan (S1)
Universitas Prasetiya Mulya,Teknologi Pangan (S1)
Universitas Muhammadiyah Tasikmalaya,Bimbingan Dan Konseling (S1)
Universitas Muhammadiyah Tasikmalaya,Ilmu Keperawatan (S1)
Universitas Muhammadiyah Tasikmalaya,Kebidanan (D3)
Universitas Muhammadiyah Tasikmalaya,Kebidanan (S1)
Universitas Muhammadiyah Tasikmalaya,Keperawatan (D3)
Universitas Muhammadiyah Tasikmalaya,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
Universitas Muhammadiyah Tasikmalaya,Pendidikan Guru Sekolah Dasar (S1)
Universitas Muhammadiyah Tasikmalaya,Pendidikan Profesi Bidan (Profesi)
Universitas Muhammadiyah Tasikmalaya,Pendidikan Seni Drama Tari dan Musik (S1)
Universitas Muhammadiyah Tasikmalaya,Pendidikan Teknologi Informasi (S1)
Universitas Muhammadiyah Tasikmalaya,Profesi Ners (Profesi)
Universitas Muhammadiyah Tasikmalaya,Teknik Elektro (S1)
Universitas Muhammadiyah Tasikmalaya,Teknik Lingkungan (S1)
Universitas Muhammadiyah Tasikmalaya,Teknik Mesin (S1)
Universitas Muhammadiyah Tasikmalaya,Teknik Pertambangan (S1)
Institut Manajemen Wiyata Indonesia,Administrasi Bisnis (S1)
Institut Manajemen Wiyata Indonesia,Akuntansi (S1)
Institut Manajemen Wiyata Indonesia,Desain Grafis (S1)
Institut Manajemen Wiyata Indonesia,Ilmu Komunikasi (S1)
Institut Manajemen Wiyata Indonesia,Manajemen (S1)
Institut Manajemen Wiyata Indonesia,Sistem Informasi (S1)
Akademi Sekretari Manajemen Tanah Rencong,Manajemen Perkantoran (D3)
Akademi Keperawatan Muhammadiyah Makassar,Keperawatan (D3)
Sekolah Tinggi Agama Kristen Sabda Holistik Malang,Terapan Ministri Kristen (S1)
Sekolah Tinggi Ilmu Kesehatan Bantul,Farmasi (S1)
Sekolah Tinggi Ilmu Kesehatan Bantul,Keperawatan (D3)
Institut Agama Islam Widya Dharma Palembang,Ekonomi Syariah (S1)
Institut Agama Islam Widya Dharma Palembang,Komunikasi dan Penyiaran Islam (S1)
Institut Agama Islam Widya Dharma Palembang,Pendidikan Agama Islam (S1)
Institut Agama Islam Widya Dharma Palembang,Pendidikan Guru Madrasah Ibtidaiyah (S1)
Institut Agama Islam Widya Dharma Palembang,Pendidikan Islam Anak Usia Dini (S1)
Institut Agama Islam Widya Dharma Palembang,Perbankan Syariah (S1)
Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Tanjung Redeb Berau,Pendidikan Agama Islam (S1)
Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Tanjung Redeb Berau,Tadris Bahasa Inggris (S1)
Sekolah Tinggi Ilmu Kesehatan Hakli,Kesehatan Lingkungan (D3)
Sekolah Tinggi Ilmu Kesehatan Hakli,Kesehatan Masyarakat (S1)
Sekolah Tinggi Ilmu Kesehatan Hakli,Optometri (D3)
Sekolah Tinggi Ilmu Kesehatan Hakli,Refraksi Optisi (D3)
Sekolah Tinggi Ilmu Kesehatan Hakli,Rekam Medik Dan Informasi Kesehatan (D3)
Sekolah Tinggi Ilmu Kesehatan Hakli,Rekam Medis dan Informasi Kesehatan (D3)
Sekolah Tinggi Ilmu Kesehatan Hakli,Sanitasi (D3)
Sekolah Tinggi Ilmu Kesehatan Notokusumo Yogyakarta,Farmasi (S1)
Sekolah Tinggi Ilmu Kesehatan Notokusumo Yogyakarta,Keperawatan (S1)
Sekolah Tinggi Ilmu Kesehatan Notokusumo Yogyakarta,Keperawatan (D3)
Sekolah Tinggi Ilmu Kesehatan Notokusumo Yogyakarta,Pendidikan Profesi Ners (Profesi)
Politeknik Prasetiya Mandiri,Administrasi Bisnis Internasional (Kampus Kota Palembang) (D3)
Politeknik Prasetiya Mandiri,Administrasi Niaga (Kampus Kota Palembang) (D3)
Politeknik Prasetiya Mandiri,Akuntansi (Kampus Kota Palembang) (D3)
Politeknik Prasetiya Mandiri,Komputerisasi Akuntansi (D3)
Politeknik Prasetiya Mandiri,Paralegal (Kampus Kota Palembang) (D3)
Politeknik Prasetiya Mandiri,Perhotelan (D3)
Politeknik Prasetiya Mandiri,Sains Data Terapan (Kampus Kota Palembang) (D4)
Politeknik Prasetiya Mandiri,Teknik Elektronika (Kampus Kota Metro) (D3)
